feature,importance
perfume_age,0.08806330752689893
perfume_name_len,0.05505154792702321
note_count_total,0.04030426362410864
base_note_count,0.028915831240022432
middle_note_count,0.026959047991730146
top_note_count,0.025547673696600708
note__musk,0.011209745017347056
accord__vanilla,0.011124502254479644
accord__woody,0.010837657589556586
note__sandalwood,0.010477249158369485
accord__citrus,0.010395406495134898
note__amber,0.010252282262166021
note__jasmine,0.010133048507754188
note__bergamot,0.010106208268102927
gender_unisex,0.009798372252287217
note__patchouli,0.00961174673645394
note__rose,0.009130400857035906
note__cedar,0.009068606356366004
accord__powdery,0.009058613794877829
accord__sweet,0.008987780960341779
accord__fruity,0.00876909903036119
accord__floral,0.008585785548568778
accord__white floral,0.008461699538883904
note__vanilla,0.008289791159115933
accord__aromatic,0.008236484831554966
accord__amber,0.008076035213334656
accord__warm spicy,0.007986239942486944
gender_women,0.007885669511484823
accord__fresh spicy,0.007824130292510672
note__mandarin orange,0.007698801325029607
accord__musky,0.007583169779391962
note__vetiver,0.0071035242985858695
gender_men,0.006867031326097358
accord__rose,0.006413648885418912
accord__green,0.006412489878093242
note__tonka bean,0.006382774598783595
note__lemon,0.0062737120711060185
note__orange blossom,0.006264798946806074
accord__fresh,0.006239676740719655
note__pink pepper,0.006060955805490131
note__lily-of-the-valley,0.005836627638873408
note__grapefruit,0.005626587733510548
note__violet,0.005505823992027126
note__iris,0.005399828166145371
note__lavender,0.005170710932125942
note__cardamom,0.005093020136107712
note__leather,0.004981095339570019
note__benzoin,0.004967936784420712
note__ylang-ylang,0.004913708036205936
note__peach,0.004877860114869342
note__white musk,0.00482184258468482
note__freesia,0.00472483158004129
note__geranium,0.004709496597295187
note__ginger,0.004548040621913023
note__oakmoss,0.004470927923086634
note__black currant,0.0044334012445871795
note__orange,0.004373137227777181
note__incense,0.004313991911567668
note__neroli,0.004312668130099517
note__cinnamon,0.004020387765166445
note__pear,0.003929626725082794
note__peony,0.0039028606683169068
note__nutmeg,0.003830340078845439
note__woody notes,0.003782734693746929
note__tuberose,0.003727731085750523
note__magnolia,0.003711842142283559
note__raspberry,0.0036738803764825197
note__agarwood (oud),0.0035705676550932233
note__labdanum,0.0035568009554876536
note__saffron,0.0035501064585743173
accord__patchouli,0.0035362403250752262
accord__earthy,0.003477474673432127
note__ambergris,0.0034048661052606664
note__black pepper,0.0032011130540559214
note__heliotrope,0.0031345741260019474
note__virginia cedar,0.0031135223215718565
accord__leather,0.0030935238562907847
note__pepper,0.0030852450511188703
note__jasmine sambac,0.0030820967542260027
note__gardenia,0.003081990790215472
accord__iris,0.0030739549828214603
note__woodsy notes,0.003035997339456943
note__apple,0.003003741042067588
note__mint,0.0029961430763764444
note__citruses,0.0029924905217641085
accord__aquatic,0.002967266256350355
note__coriander,0.002910180360689504
note__plum,0.002893178440273805
