feature,mean_abs_shap
brand_perfume_count,0.06702994014134929
perfume_age,0.04341285943724815
country_France,0.02528486539412475
accord__vanilla,0.014048752457839106
base_note_count,0.010831001453251731
brand_len,0.010037767445099615
note_count_total,0.008448310332989407
accord__citrus,0.007830036694042964
perfume_name_len,0.007307394257045655
country_Italy,0.007238496786326709
note__musk,0.005906763831755073
accord__sweet,0.004735377560891866
middle_note_count,0.004715752248342838
top_note_count,0.004053349769236449
country_Brazil,0.003928738132234971
gender_unisex,0.003836421824812513
accord__warm spicy,0.0030927165627978085
country_USA,0.002908764377176818
note__leather,0.002866104064198071
country_Russia,0.0025275904714711565
accord__musky,0.0024925529776619686
accord__aromatic,0.0024392528092728946
country_Spain,0.002321554686583514
accord__woody,0.0022913102175559897
accord__white floral,0.002281058194661208
accord__floral,0.002260467997793695
note__rose,0.0022473093414925246
country_other,0.0022298188502986598
gender_women,0.0021426104370947494
note__benzoin,0.0021380734329545154
note__sandalwood,0.0020605346891406813
note__incense,0.002060275137993178
note__patchouli,0.0020133638860819147
note__lily-of-the-valley,0.0019533219339540695
accord__fresh spicy,0.00191554514936235
note__lemon,0.0018776918074699838
country_Oman,0.0018474520874538945
note__vetiver,0.001834056671409772
note__vanilla,0.001727431599720968
gender_men,0.0016852586051291456
accord__powdery,0.0015373072733583146
note__jasmine,0.001524921071433104
country_UAE,0.0014423178971572973
note__amber,0.0014129237087856625
note__cedar,0.0013898337731046617
accord__amber,0.0013851847051976646
accord__fruity,0.0013589497868610246
note__bergamot,0.0013288558336942717
note__iris,0.0012738672614587996
note__tonka bean,0.0012118284171282843
note__oakmoss,0.0011673418306500558
note__orange blossom,0.0011352333156169523
accord__green,0.001127573689080047
note__pineapple,0.001077382982484383
note__orange,0.001075134160234596
note__freesia,0.0010361654396359656
note__narcissus,0.001035606998495268
note__white musk,0.0010351303992052851
note__mandarin orange,0.001031805526883027
note__floral notes,0.001006099023526594
accord__rose,0.001003108901264578
note__madagascar vanilla,0.0009603283105139724
note__violet,0.000959546022649846
accord__fresh,0.000952559606642321
note__grapefruit,0.000936859161720036
note__cinnamon,0.0009106566788300848
note__labdanum,0.0008999457280107938
note__peach,0.0008710664625547898
note__carnation,0.0008639538094813447
note__jasmine sambac,0.0008553861455491615
note__honey,0.0007982275412644001
note__orris root,0.0007952501687085736
note__pink pepper,0.0007893849573470494
country_Sweden,0.0007733695628846368
note__lime,0.0007415962714128906
note__ambrette (musk mallow),0.0006977232119970298
note__ylang-ylang,0.0006947757764708309
accord__aquatic,0.0006853668236423773
note__bourbon vanilla,0.0006811440371882867
note__geranium,0.0006698503871678555
note__lavender,0.0006668013378043354
accord__iris,0.0006656029448547247
country_UK,0.0006598311749286528
accord__leather,0.0006341657657911991
note__violet leaf,0.0006335597377481086
note__peony,0.0006308327481626264
note__ginger,0.0006192175983260711
note__mint,0.0006187332963773429
